Filename,Time (ps),LJ Energy (kJ/mol),Distance (nm)
dhdl_modified_496.xvg,0.0,4331.033691,0.496
dhdl_modified_497.xvg,0.0,4226.901855,0.497
dhdl_modified_498.xvg,0.0,4125.462402,0.498
dhdl_modified_499.xvg,0.0,4026.642578,0.499
dhdl_modified_500.xvg,0.0,3930.37207,0.5
dhdl_modified_501.xvg,0.0,3836.568604,0.501
dhdl_modified_502.xvg,0.0,3745.179199,0.502
dhdl_modified_503.xvg,0.0,3656.12793,0.503
dhdl_modified_504.xvg,0.0,3569.347412,0.504
dhdl_modified_505.xvg,0.0,3484.784668,0.505
dhdl_modified_506.xvg,0.0,3402.376465,0.506
dhdl_modified_507.xvg,0.0,3322.058838,0.507
dhdl_modified_508.xvg,0.0,3243.777588,0.508
dhdl_modified_509.xvg,0.0,3167.483154,0.509
dhdl_modified_510.xvg,0.0,3093.115723,0.51
dhdl_modified_511.xvg,0.0,3020.624756,0.511
